<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
MOEX.SBER:SMAL,60,04/05/22,11:00:00,128.0100000,128.0100000,125.8100000,126.2100000,12
MOEX.SBER:SMAL,60,04/05/22,12:00:00,125.5000000,125.5000000,124.1000000,124.1000000,4
MOEX.SBER:SMAL,60,04/05/22,13:00:00,124.2400000,124.2400000,123.4800000,123.4800000,5
MOEX.SBER:SMAL,60,04/05/22,14:00:00,126.0000000,126.0000000,126.0000000,126.0000000,1
MOEX.SBER:SMAL,60,04/05/22,15:00:00,126.0000000,126.0000000,126.0000000,126.0000000,9
MOEX.SBER:SMAL,60,04/05/22,16:00:00,125.4200000,125.4200000,125.4200000,125.4200000,1
MOEX.SBER:SMAL,60,04/05/22,17:00:00,123.7900000,123.7900000,123.7900000,123.7900000,8
MOEX.SBER:SMAL,60,04/05/22,18:00:00,125.2200000,125.2200000,125.2200000,125.2200000,2
MOEX.SBER:SMAL,60,05/05/22,14:00:00,123.1300000,123.1300000,123.1300000,123.1300000,2
MOEX.SBER:SMAL,60,05/05/22,15:00:00,123.4100000,124.4000000,123.4100000,124.4000000,10
MOEX.SBER:SMAL,60,05/05/22,18:00:00,124.0000000,124.0000000,123.2900000,123.2900000,6
MOEX.SBER:SMAL,60,06/05/22,11:00:00,124.0000000,124.0000000,121.9000000,121.9000000,7
MOEX.SBER:SMAL,60,06/05/22,12:00:00,123.0000000,123.0000000,121.5900000,121.5900000,5
MOEX.SBER:SMAL,60,06/05/22,13:00:00,122.3900000,122.3900000,121.5700000,121.9100000,8
MOEX.SBER:SMAL,60,06/05/22,14:00:00,123.9900000,123.9900000,123.9900000,123.9900000,13
MOEX.SBER:SMAL,60,06/05/22,15:00:00,123.9900000,123.9900000,123.9900000,123.9900000,3
MOEX.SBER:SMAL,60,06/05/22,16:00:00,122.5100000,122.5100000,122.5100000,122.5100000,2
MOEX.SBER:SMAL,60,06/05/22,18:00:00,123.9900000,123.9900000,123.9900000,123.9900000,1
MOEX.SBER:SMAL,60,06/05/22,19:00:00,123.5000000,123.9900000,123.5000000,123.9900000,13
MOEX.SBER:SMAL,60,11/05/22,11:00:00,121.5100000,125.6200000,121.5100000,125.0000000,18
MOEX.SBER:SMAL,60,11/05/22,12:00:00,124.6100000,125.5600000,124.1000000,124.1000000,7
